"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","FTPMonitor"
"TIMESTAMP","RECORD","Batt_volt_Min","FTPResultRomeral","FTPResultRomeral_Raw","FTPResultRain"
"TS","RN","Volts","","",""
"","","Min","Smp","Smp","Smp"
"2026-05-27 18:10:00",310,13.31,-1,-1,-2
"2026-05-28 00:10:00",311,12.77,-1,-1,-1
"2026-05-28 06:10:00",312,12.63,-1,-1,-2
"2026-05-28 12:10:00",313,13.59,-1,-1,-2
"2026-05-28 18:10:00",314,13.26,-1,-1,-2
"2026-05-29 00:10:00",315,12.77,-1,-1,-1
"2026-05-29 06:10:00",316,12.61,-1,-1,-2
"2026-05-29 12:10:00",317,13.57,-1,-1,-2
"2026-05-29 18:10:00",318,13.3,-1,-1,-2
"2026-05-30 00:10:00",319,12.78,-1,-1,-1
"2026-05-30 06:10:00",320,12.64,-1,-1,-2
"2026-05-30 12:10:00",321,13.97,-1,-1,-2
"2026-05-30 18:10:00",322,13.27,-1,-1,-2
"2026-05-31 00:10:00",323,12.77,-1,-1,-1
"2026-05-31 06:10:00",324,12.64,-1,-1,-2
"2026-05-31 12:10:00",325,13.97,-1,-1,-2
"2026-05-31 18:10:00",326,13.37,-1,-1,-2
"2026-06-01 00:10:00",327,12.82,-1,-1,-1
"2026-06-01 06:10:00",328,12.66,-1,-1,-2
"2026-06-01 12:10:00",329,13.58,-1,-1,-2
"2026-06-01 18:10:00",330,13.42,-1,-1,-2
"2026-06-02 00:10:00",331,12.79,-1,-1,-1
"2026-06-02 06:10:00",332,12.64,-1,-1,-2
"2026-06-02 12:10:00",333,13.58,-1,-1,-2
"2026-06-02 18:10:00",334,13.34,-1,-1,-2
"2026-06-03 00:10:00",335,12.78,-1,-1,-1
"2026-06-03 06:10:00",336,12.65,-1,-1,-2
"2026-06-03 12:10:00",337,13.56,-1,-1,-2
"2026-06-03 18:10:00",338,13.39,-1,-1,-2
"2026-06-04 00:10:00",339,12.83,-1,-1,-1
"2026-06-04 06:10:00",340,12.66,-1,-1,-2
"2026-06-04 12:10:00",341,13.56,-1,-1,-2
"2026-06-04 18:10:00",342,13.41,-1,-1,-2
"2026-06-05 00:10:00",343,12.82,-1,-1,-1
"2026-06-05 06:10:00",344,12.63,-1,-1,-2
"2026-06-05 12:10:00",345,13.98,-1,-1,-2
"2026-06-05 18:10:00",346,13,-1,-1,-2
"2026-06-06 00:10:00",347,12.8,-1,-1,-1
"2026-06-06 06:10:00",348,12.52,0,0,-2
"2026-06-06 12:10:00",349,13.96,-1,0,-2
"2026-06-06 18:10:00",350,13.28,-1,-1,-2
"2026-06-07 00:10:00",351,12.76,-1,-1,-1
"2026-06-07 06:10:00",352,12.63,-1,-1,-2
"2026-06-07 12:10:00",353,13.56,-1,-1,-2
"2026-06-07 18:10:00",354,13.21,-1,-1,-2
"2026-06-08 00:10:00",355,12.75,-1,-1,-1
"2026-06-08 06:10:00",356,12.62,-1,-1,-2
"2026-06-08 12:10:00",357,13.97,-1,-1,-2
"2026-06-08 18:10:00",358,13.19,-1,-1,-2
"2026-06-09 00:10:00",359,12.82,-1,-1,-1
"2026-06-09 06:10:00",360,12.67,-1,-1,-2
"2026-06-09 12:10:00",361,13.34,-1,-1,-2
"2026-06-09 18:10:00",362,12.98,-1,-1,-2
"2026-06-10 00:10:00",363,12.78,0,0,0
"2026-06-10 06:10:00",364,12.49,0,0,0
"2026-06-10 12:10:00",365,13.3,-1,0,-1
"2026-06-10 18:10:00",366,13.4,-1,-1,-2
"2026-06-11 00:10:00",367,12.74,0,0,0
"2026-06-11 06:10:00",368,12.53,0,0,0
"2026-06-11 12:10:00",369,13.55,-1,0,-1
"2026-06-11 18:10:00",370,13.2,-1,-1,-2
"2026-06-12 00:10:00",371,12.76,-1,-1,-1
"2026-06-12 06:10:00",372,12.65,-1,-1,-2
"2026-06-12 12:10:00",373,13.97,-1,-1,-2
"2026-06-12 18:10:00",374,13.39,-1,-1,-2
"2026-06-13 00:10:00",375,12.75,-1,-1,-1
"2026-06-13 06:10:00",376,12.63,-1,-1,-2
"2026-06-13 12:10:00",377,13.96,-1,-1,-2
"2026-06-13 18:10:00",378,13.33,-1,-1,-2
"2026-06-14 00:10:00",379,12.8,-1,-1,-1
"2026-06-14 06:10:00",380,12.64,-1,-1,-2
"2026-06-14 12:10:00",381,13.98,-1,-1,-2
"2026-06-14 18:10:00",382,13.18,-1,-1,-2
"2026-06-15 00:10:00",383,12.76,-1,-1,-1
"2026-06-15 06:10:00",384,12.62,-1,-1,-2
"2026-06-15 12:10:00",385,13.97,-1,-1,-2
"2026-06-15 18:10:00",386,13.28,-1,-1,-2
"2026-06-16 00:10:00",387,12.76,-1,-1,-1
"2026-06-16 06:10:00",388,12.65,-1,-1,-2
